epoch,train_loss,rmse
1,0.20692343293644844,0.4080722593658027
2,0.06632724458662172,0.25719378604775384
3,0.05483700529051324,0.2340252905463179
4,0.04873489107315739,0.22063977426538864
5,0.04606266561452122,0.214513289564777
6,0.04432955070487445,0.2104240632837727
7,0.04275932614248069,0.20667541949521928
8,0.04179851030043903,0.20431681771186136
9,0.040732191055126134,0.20171408177841277
10,0.04010551677839387,0.20015948576231798
11,0.03971347096376121,0.19916912527488811
12,0.03921142943380844,0.19791589584201574
13,0.038762900656798764,0.19676859446224712
14,0.03856759894794474,0.19626317208721525
15,0.03799743444791862,0.1948241757317668
16,0.037784320989712364,0.19425017998686858
17,0.037496288606364815,0.1935429403203584
18,0.037240123110158105,0.1928617994167975
19,0.03745893515934724,0.19343981528211207
20,0.03673457411406118,0.19154724509765705
21,0.036722229760406275,0.19152049024012827
22,0.0366159425660347,0.1912435269692824
23,0.03623130250655647,0.19024781865023432
24,0.03616057962755717,0.19005828355217264
25,0.03598341030911321,0.18960168376742376
26,0.036167171345801934,0.1900581791996956
27,0.03564079565971735,0.18867152525732914
28,0.03577890624070451,0.1890355698941719
29,0.03548469150527602,0.18826021746333158
30,0.035686193366668055,0.18879247456789017
31,0.035454193834171054,0.1881845203627433
32,0.0351994961189727,0.1875055026085604
33,0.03518149710725993,0.18744937339354129
34,0.034961958188519236,0.1868649653292128
35,0.034540873719379306,0.1857467731017442
36,0.03480023610228229,0.18644296976604632
37,0.03448369652254596,0.1855800330993675
38,0.03444327330327637,0.1854817442862051
39,0.034430197473349314,0.1854353773718079
40,0.03444283620254802,0.18547459084185816
41,0.034296376043043676,0.18507729435250872
42,0.03413682980352037,0.1846524915170102
43,0.034138928505680746,0.18465113333825553
44,0.03392684826671723,0.1840925349720887
45,0.03399648024545362,0.18427297246775456
46,0.03400260920725053,0.18428039603999682
47,0.03400238353892097,0.18428328074514866
48,0.03367970534045959,0.18341643425325552
49,0.033860358686762904,0.18388921075633594
50,0.033670271397568285,0.18337519466876984
51,0.03361954491230704,0.18324060782435395
52,0.033573524200446195,0.18312338761807906
53,0.033427721089018245,0.18272761530464604
54,0.03347489375266291,0.18285920138337783
55,0.033461495369140594,0.18282177485525608
56,0.03328939633155685,0.18234559148550034
57,0.03351014177314937,0.1829625792978775
58,0.03318837502904769,0.182071095376852
59,0.033130566212570385,0.1819095036813191
60,0.03297102470172658,0.18145054973484503
61,0.03328073580217149,0.1823181232348794
62,0.03318207189884214,0.1820444277088557
63,0.03293230461089739,0.18137238910865217
64,0.03306845671475111,0.1817270808276676
65,0.03315838248956771,0.1819661965682393
66,0.03291816231129425,0.18132587606530814
67,0.03294597797295345,0.18140689163867915
68,0.03284572925795579,0.18111054373106786
69,0.033017489804132355,0.18159232297468753
70,0.03279949598280447,0.18099085733826673
71,0.03284633373065541,0.18112461929697365
72,0.03274631698150188,0.18084382536333232
73,0.03265063695809139,0.18057267363404944
74,0.032635541715925295,0.18053753474461182
75,0.032662298857411814,0.18059624447709038
76,0.03279343908763535,0.18097699925835645
77,0.03260029123408631,0.18043607154062816
78,0.0325022019179804,0.180170088562937
79,0.03233910323165003,0.1797163188457489
80,0.032379239930638244,0.17983496765650453
81,0.03238212298380122,0.17984459221008278
82,0.03236339836647468,0.1797925214327517
83,0.03253572854390811,0.18026436200099333
84,0.032597304199866596,0.1804243621992923
85,0.03243497034002628,0.1799870194601161
86,0.03249372289116893,0.18014296596603735
87,0.03251154940863628,0.18020710486563898
88,0.03241759712164778,0.17992935258717763
89,0.0324479174090638,0.18002162159730992
90,0.032285927811504474,0.1795635913454351
91,0.032376316170917734,0.1798307290300727
92,0.03241798212374782,0.17994377540335768
93,0.03222037970443212,0.17938446324496043
94,0.0323232598103849,0.17967880632550942
95,0.03222966047247783,0.17940609303436109
96,0.03222235087083564,0.17938594426959753
97,0.03225444876478009,0.17947608986425967
98,0.0323242429488649,0.17966738560547432
99,0.03220888539882643,0.17937750719665063
100,0.03214195442186402,0.17917906413120882
